id,profile
DEV-10af9ad30fc2,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 2208x1242
DEV-10fd4558f793,5025G Build/LMY47I | chrome 43.0 for android
DEV-110510c75488,LG-H871 | Android 7.0 | firefox | 2672x1440
DEV-110ac1aee3d2,G25524K | chrome generic for android
DEV-111a20176b88,Windows | Windows 10 | chrome 63.0 | 1400x1050
DEV-112838b30615,Redmi | chrome 65.0 for android
DEV-1187396a4c2c,iOS Device | iOS 10.3.3 | mobile safari generic | 1334x750
DEV-1195fa9ac491,SM-J500M Build/LMY48B | chrome 61.0 for android
DEV-119ca6572bed,SM-A520F Build/NRD90M | chrome 64.0 for android
DEV-11c28d019534,SAMSUNG SM-J700M Build/MMB29K | samsung browser 4.0
DEV-11c3dd03f3e1,F3313 Build/37.0.A.2.248 | chrome generic for android
DEV-11ce6bb7a1f9,SM-J120H Build/LMY47V | chrome generic
DEV-11cfad81fe75,LG-X180g Build/LMY47I | chrome 63.0 for android
DEV-123a3c8d396b,es-us | android webview 4.0
DEV-126857d29ae4,Linux | chrome 66.0 | 2560x1440
DEV-126edcdbc396,SM-G950F Build/R16NW | chrome generic for android
DEV-126fb93bc067,SM-G930U Build/NRD90M | chrome generic for android
DEV-129743d83015,iOS Device | iOS 10.0.2 | mobile safari 10.0 | 1136x640
DEV-12a2e97da490,Lenovo K33b36 Build/MMB29M | chrome 63.0 for android
DEV-12a8ceea3c31,Grand2c | android webview 4.0
DEV-12b1b0fd639b,AX920 | chrome 63.0 for android
DEV-12ccb385f6ad,BV8000Pro | chrome 65.0 for android
DEV-12d069dcea99,SM-J111M Build/LMY47V | chrome 65.0 for android
DEV-12da8678041d,BLADE V8 SE Build/NRD90M | chrome 66.0 for android
DEV-13242a0742e3,SM-G900M Build/LRX21T | chrome generic
DEV-132f1f83c152,SM-J700M Build/LMY48B | chrome 66.0 for android
DEV-1347635b9ff6,SM-J510MN Build/MMB29M | chrome 63.0 for android
DEV-134916b44892,5012G Build/MRA58K | chrome 66.0 for android
DEV-13895f9bdaeb,Hisense F23 Build/NRD90M | chrome 66.0 for android
DEV-143bafbaeae6,Windows | Windows 10 | chrome 63.0 | 4500x3000
DEV-14663bdb121d,LG-M320 Build/NRD90U | chrome 65.0 for android
DEV-1482399132c5,XT1572 Build/NPHS25.200-15-8 | chrome 64.0 for android
DEV-14951d0cd2d7,LG-H650 Build/MRA58K | chrome 61.0 for android
DEV-149ae2ec013e,rv:57.0 | Mac OS X 10.12 | firefox 57.0 | 2560x1600
DEV-14a24a7f6ff9,chrome 64.0 for ios
DEV-14b10590daa2,Windows | Windows 7 | chrome 62.0 | 1280x1024
DEV-14b2d11e9513,HTC One_M8 Build/MRA58K | chrome 63.0 for android
DEV-14bc4c35e6ec,iOS Device | iOS 9.3.5 | mobile safari 9.0 | 2048x1536
DEV-14bc9850db7c,Z981 Build/MMB29M | Android 6.0.1 | chrome 63.0 for android | 1920x1080
DEV-14d9bb3cd5f8,rv:58.0 | firefox
DEV-14e995f6d71f,SM-J320M Build/LMY47V | chrome 57.0 for android
DEV-14f0adec79a3,Hisense U963 Build/MRA58K | chrome 65.0 for android
DEV-15240abbeb3c,S70V | chrome generic
DEV-15257535af91,XT1032 | chrome 65.0 for android
DEV-154c6c2ef36d,SAMSUNG-SM-J320AZ | chrome 64.0 for android
DEV-155939f63929,Windows | Windows 10 | chrome 61.0 | 1366x768
DEV-15b5611ca494,XT1064 | chrome 63.0 for android
DEV-15baead6b642,SM-T800 Build/MMB29K | chrome 63.0 for android
DEV-15bf6b37ad28,iOS Device | iOS 11.2.2 | mobile safari generic | 1334x750
DEV-160437320382,MacOS | Mac OS X 10_13_2 | safari generic | 1440x900
DEV-164b2c334b3b,Ilium LT520 Build/NRD90M | chrome 56.0 for android
DEV-1670d72bcc1b,SM-N910C Build/MMB29K | chrome 55.0 for android
DEV-16a14d93a210,Lenovo K33b36 Build/MMB29M | chrome 55.0 for android
DEV-16ab6de1342d,Moto G Play Build/MPIS24.241-15.3-7 | chrome 63.0 for android
DEV-16b92d66d6b4,WAS-LX3 Build/HUAWEIWAS-LX3 | chrome 64.0 for android
DEV-16d4367d3f16,M4 SS4456 Build/LMY47V | chrome 65.0 for android
DEV-16dadf88cba4,HUAWEI CUN-L03 Build/HUAWEICUN-L03 | chrome 62.0 for android
DEV-1712e54e8616,LG-K220 Build/MXB48T | chrome 58.0 for android
DEV-1713b24443f4,SM-A320Y Build/NRD90M | chrome 63.0 for android
DEV-175240b4b29f,moto x4 Build/NPW26.83-18-2-0-4 | chrome 63.0 for android
DEV-17557181335b,SM-N900W8 Build/LRX21V | chrome generic
DEV-175f99639631,GT-I8190L Build/JZO54K | chrome 59.0 for android
DEV-177544221a16,XT1032 Build/KXB21.14-L1.40 | chrome 60.0 for android
DEV-17770094f6b2,SM-G955U1 Build/NRD90M | chrome generic for android
DEV-177e867157dc,SM-T113 Build/KTU84P | chrome 63.0 for android
DEV-1784842f5153,SM-A320Y | chrome 64.0 for android
DEV-17aff6f4cebe,Windows | Windows 10 | firefox 57.0
DEV-17b12db01e86,Windows | firefox 56.0
DEV-180b98fd1533,LG-D320 Build/KOT49I.V10a | chrome generic
DEV-1816e7734697,moto x4 Build/NPW26.83-18-2-0-4 | chrome 58.0 for android
DEV-181f2aee70b6,iOS Device | iOS 11.0.3 | mobile safari generic | 1334x750
DEV-185c1a0a46a8,5051A Build/MMB29M | chrome 65.0 for android
DEV-18655b99432a,0PM92 | chrome 64.0 for android
DEV-1886f7471ff7,Windows | Windows 10 | edge 15.0 | 1280x1024
DEV-188e4877e144,SM-J700M Build/MMB29K | chrome 65.0 for android
DEV-191e1352fda2,Moto Z (2 | chrome generic
DEV-192444c69b33,HTC Desire 530 Build/MMB29M | chrome generic for android
DEV-192d23a19244,SM-G610M Build/MMB29K | chrome 66.0 for android
DEV-194c07e3410e,MacOS | Mac OS X 10_11_6 | chrome 62.0 | 1280x800
DEV-196dd833623f,iOS Device | iOS 11.2.2 | mobile safari uiwebview | 1334x750
DEV-19741fe30492,Blade V580 Build/LMY47D | chrome generic
DEV-19b7d1f37a13,Windows | Windows 10 | firefox 57.0 | 1920x1080
DEV-19c1009e714b,HUAWEI RIO-L03 Build/HUAWEIRIO-L03 | chrome 63.0 for android
DEV-19cd5478258e,Windows | Windows 10 | chrome 62.0 | 1920x1080
DEV-19d41b065cc8,Windows | Windows 10 | chrome 64.0 | 1440x900
DEV-1a02e95015b1,SM-T820 Build/NRD90M | chrome 63.0 for android
DEV-1a03500198c3,iOS Device | iOS 11.2.5 | mobile safari generic | 1136x640
DEV-1a17cafe7012,PRA-LX3 Build/HUAWEIPRA-LX3 | chrome 64.0 for android
DEV-1a2a33dd82f2,iOS Device | iOS 10.2.1 | mobile safari 10.0 | 1136x640
DEV-1a47fbf2fc03,Moto E (4) Build/NMA26.42-19 | chrome 66.0 for android
DEV-1a8759184658,Z813 Build/LMY47O | chrome 65.0 for android
DEV-1a93a9a58181,F5121 | chrome 63.0 for android
DEV-1ad3dac5c882,SAMSUNG SM-G925I Build/NRD90M | samsung browser 6.4
DEV-1ad5607fcfbb,SM-G950U Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2220x1080
DEV-1af7b7245309,Windows | Windows 10 | chrome generic | 1280x1024
DEV-1b28acd39181,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1136x640
DEV-1b4ff13ab28f,2PYB2 | chrome 63.0 for android
DEV-1b7eddaa043e,E6853 | chrome 62.0 for android
DEV-1b81f3c2fafe,Windows | Windows 7 | chrome 65.0 | 1920x1200
DEV-1bb6b3479b19,LG-M320 Build/NRD90U | chrome 64.0 for android
DEV-1bb94bf83676,M4 SS4456 Build/LMY47V | M4Tel/M4
DEV-1bd45a972a78,SAMSUNG SM-G965U1 Build/R16NW | samsung browser 7.0
DEV-1bef36e0daae,Windows | Windows 8.1 | chrome 64.0 | 1366x768
DEV-1bfb4d0f03ff,HTC Desire 626s Build/LMY47O | chrome 59.0 for android
DEV-1c3e0bbff3a8,Moto Z2 Play Build/NPSS26.118-19-14 | chrome generic for android
DEV-1c5ef9083e9f,SM-J105B Build/LMY47V | chrome 63.0 for android
DEV-1c6ef4dc3ca2,LG-M700 Build/NMF26X | chrome 56.0 for android
DEV-1c80c3eaf609,MacOS | Mac OS X 10_10_5 | chrome 65.0 | 1280x800
DEV-1caf7a5e640b,M4 SS4456 Build/LMY47V | chrome 46.0 for android
DEV-1cb576fba5f3,MotoG3 Build/MPIS24.65-33.1-2-16 | chrome 61.0 for android
DEV-1d5088fdf9ff,Moto G (4) Build/NPJS25.93-14-13 | chrome generic
DEV-1d9acbcb1d3e,SM-A310M Build/NRD90M | chrome 63.0 for android
DEV-1dadab45a078,LG-K373 | chrome 61.0 for android
DEV-1db1a8f119f8,Ilium X510 Build/MRA58K | chrome 63.0 for android
DEV-1dcf36fae0df,SAMSUNG SM-J710MN Build/MMB29K | samsung browser 6.2
DEV-1df5384ae736,HUAWEI VNS-L53 Build/HUAWEIVNS-L53 | chrome 65.0 for android
DEV-1df83e0dfe86,HUAWEI NXT-L09 Build/HUAWEINXT-L09 | chrome 63.0 for android
DEV-1e03127e8650,chrome 65.0 for ios
DEV-1e407b274c6f,Lenovo | chrome 64.0 for android
DEV-1e50e407fc5e,LG-H650 Build/MRA58K | chrome 64.0 for android
DEV-1e73f6798217,safari generic
DEV-1ea94d316547,SAMSUNG-SM-G925A Build/MMB29K | chrome 65.0 for android
DEV-1eed3e402af1,Windows | Windows 7 | chrome 63.0 | 1680x1050
DEV-1f1a84ec9f44,SM-J110M Build/LMY48B | chrome 49.0 for android
DEV-1f308fe2a919,MacOS | Mac OS X 10_10_5 | safari 10.0 | 2560x1600
DEV-1f30fb54eff7,iOS Device | iOS 10.3.2 | mobile safari generic | 2048x1536
DEV-1f399be69b55,LG-D693n | chrome 62.0 for android
DEV-1f4925d4e517,G3223 | chrome 65.0 for android
DEV-1f82495f4acb,Windows | Windows 7 | chrome 66.0 | 1920x1080
DEV-1fad95e48be6,Windows | Windows 10 | chrome 64.0 | 1680x1050
DEV-1fb4afc096ed,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1680x1050
DEV-1fc9d391847e,HUAWEI RIO-L03 Build/HUAWEIRIO-L03 | chrome 65.0 for android
DEV-1fcd22d86a73,SM-J120H Build/LMY47V | chrome 53.0 for android
DEV-1fe76451cac2,SM-G530H Build/KTU84P | chrome 62.0 for android
DEV-1feeb0f64867,7055A Build/KVT49L | chrome 62.0 for android
DEV-200735326534,MacOS | Mac OS X 10_13_4 | chrome 66.0 | 2880x1800
DEV-2032ffc05f7b,Moto Z2 Play Build/NPS26.74-16-1 | chrome 63.0 for android
DEV-20452de747bb,MacOS | Mac OS X 10_12_6 | safari generic | 1920x1080
DEV-2047bdc87465,M4 SS4453 Build/MMB29M | chrome generic for android
DEV-2063efca3fc4,XT1635-02 Build/NPN26.118-22-2 | chrome 66.0 for android
DEV-2066dc1ee3fe,Blade L5 Build/LMY47I | chrome generic
DEV-206b021bc278,BLADE V8 SE Build/NRD90M | chrome 62.0 for android
DEV-2085494ae275,LG-X230 Build/MRA58K | chrome 65.0 for android
DEV-20af66cb7168,MacOS | Mac OS X 10_11_6 | safari generic | 2560x1600
DEV-20c503e7fac6,iOS Device | iOS 11.2.5 | mobile safari 11.0 | 1334x750
DEV-20cc66929bff,chrome generic
DEV-20d74d51c53a,HTC Desire 530 Build/MMB29M | chrome 63.0 for android
DEV-212076d23e7a,XT1635-02 Build/NPN26.118-22-2 | chrome 65.0 for android
DEV-213368eb1cbe,Moto G Play Build/MPIS24.241-15.3-26 | chrome 62.0 for android
DEV-213f566e0166,iOS Device | iOS 9.3.5 | mobile safari 9.0 | 1024x768
DEV-21794a406228,comodo
DEV-21b305bfbb1b,SM-N920P Build/NRD90M | Android 7.0 | chrome 62.0 for android
DEV-21b681adc85e,rv:38.0 | firefox
DEV-21e367fc9dab,SAMSUNG-SM-G891A Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080
DEV-22069b34ab7b,SM-G950F Build/R16NW | chrome 66.0 for android
DEV-221d2af98e65,iOS Device | iOS 10.3.1 | mobile safari 10.0 | 1334x750
DEV-222502a6c4ce,SM-T800 | chrome 59.0 for android
DEV-2234c7c8bb91,Dash | chrome 61.0 for android
DEV-224d74695818,Lenovo A6020l37 Build/LMY47V | chrome 65.0 for android
DEV-224e314be4e7,rv:59.0 | Mac OS X 10.12 | firefox 59.0 | 2560x1440
DEV-225a818d490a,Windows | chrome
DEV-228295165173,LG-H500 Build/LRX21Y | chrome 55.0 for android
DEV-22b39dab8bd9,rv:57.0 | Windows 7 | firefox 57.0 | 1920x1080
DEV-22c50f87aa13,SM-J500M Build/LMY48B | chrome 64.0 for android
DEV-22e67eb95489,Trident/7.0 | Windows 8.1 | ie 11.0 for desktop | 1680x1050
DEV-22f8d1fe464e,SM-J700H Build/MMB29K | chrome 63.0 for android
DEV-23ed3d32dfa2,Android 5.1 | android browser 4.0
DEV-23f966264adc,Moto | chrome 62.0 for android
DEV-2445f2b04c6e,MacOS | Mac OS X 10_12_6 | chrome 65.0 | 2880x1800
DEV-247705d7bccf,LG-H870 Build/NRD90U | chrome 65.0 for android
DEV-24a4b5bcc36c,SM-T380 | chrome 65.0 for android
DEV-24c720ceb770,SM-A720F Build/MMB29K | chrome 62.0 for android
DEV-24e5d6270630,firefox 58.0
DEV-2531e05c9e6e,MacOS | Mac | chrome 63.0 | 1920x1080
DEV-254bc281a296,SM-S902L | Android 4.4.2 | chrome 63.0 for android | 1920x1080
DEV-257bc7e24df7,iOS Device | iOS 10.2.0 | mobile safari 10.0 | 1334x750
DEV-25ccdcb4e850,LG-K200 Build/MXB48T | chrome 63.0 for android
DEV-25e450802b29,Windows | Windows 7 | chrome 51.0 | 1366x768
DEV-2610c96afcab,LG-H870 Build/NRD90U | chrome 64.0 for android
DEV-264c62782454,XT1040 | chrome 58.0 for android
DEV-2653905d082d,F5321 | chrome 65.0 for android
DEV-265a76755878,SM-A710M Build/LMY47X | chrome 57.0 for android
DEV-268e54145c48,E2104 | chrome 63.0 for android
DEV-26af8a954655,LG-D693n Build/LRX22G | chrome 56.0 for android
DEV-271a705df7b0,F5121 Build/34.3.A.0.238 | chrome 64.0 for android
DEV-27380d71d0ac,LG-M400 Build/NRD90U | chrome 64.0 for android
DEV-275439498e4d,SGH-I337M Build/LRX22C | chrome 65.0 for android
DEV-275f61702139,A9 | android webview 4.0
DEV-27648388241b,SM-G610M Build/MMB29K | other
DEV-2764b7775b4b,chrome 66.0
DEV-27875889e3b5,Windows | Windows 10 | chrome 62.0 | 3200x1800
DEV-279059e96e3a,ZA509 | android browser 4.0
DEV-27a27bdae651,SM-J111M Build/LMY47V | chrome 63.0 for android
DEV-27c62677cbec,Windows | Windows 10 | chrome 64.0 | 1280x1025
DEV-27c6b8a94704,iOS Device | iOS 11.2.1 | mobile safari 11.0 | 2208x1242
DEV-281559026d33,MYA-L13 Build/HUAWEIMYA-L13 | chrome 64.0 for android
DEV-2830f541c3e8,TRT-L53 Build/HUAWEITRT-L53 | chrome generic for android
DEV-28340ddedd6a,Hisense U963 Build/MRA58K | other
DEV-283d2be464f8,HTC Desire 626s Build/LMY47O | chrome 63.0 for android
DEV-28475adf0495,HUAWEI | chrome 65.0 for android
DEV-28690413d732,HTC Desire 650 Build/MMB29M | chrome 66.0 for android
DEV-2876346124bc,SLA-L03 Build/HUAWEISLA-L03 | chrome 59.0 for android
DEV-287a7dd31dfb,LG-H542 Build/LRX22G | chrome 61.0 for android
DEV-288926871490,MacOS | Mac OS X 10_12_6 | chrome 61.0 | 2880x1800
DEV-28b5dba39d70,SM-G531H Build/LMY48B | chrome 58.0 for android
DEV-28eae9c6300f,F8331 Build/41.2.A.7.76 | chrome 65.0 for android
DEV-29602d63506b,LT30p | chrome 50.0 for android
DEV-2963df04fafd,Touch | ie 11.0 for tablet
DEV-29cd1f52001c,MacOS | Mac OS X 10_13_2 | safari generic | 2560x1440
DEV-2a190e908272,CAM-L03 Build/HUAWEICAM-L03 | chrome 63.0 for android
DEV-2a268181bfc9,LG-X210 Build/LMY47I | chrome 50.0 for android
DEV-2a348f201ba6,Windows | other | chrome 61.0 | 1280x720
DEV-2a407af4cf96,iPhone | chrome 63.0 for android
DEV-2a72a95cdc5c,M4 SS4456 Build/LMY47V | chrome 62.0 for android
DEV-2a850816ede8,SM-A500FU Build/MMB29M | chrome 64.0 for android
DEV-2abc1054a8ce,Hisense F23 Build/NRD90M | chrome generic for android
