from,to
C07207-K1,REG-310
C07212-K2,REG-299
C07212-K2,REG-272
C07212-K2,REG-330
C07212-K2,REG-177
C07212-K2,REG-476
C07297-K1,REG-264
C07297-K1,REG-204
C07297-K1,REG-492
C07297-K1,REG-485
C07297-K1,REG-476
C07297-K1,REG-315
C07297-K1,REG-324
C07297-K1,REG-387
C07297-K1,REG-269
C07297-K1,REG-191
C07297-K1,REG-337
C07297-K1,REG-253
C07297-K1,REG-428
C07297-K1,REG-272
C07297-K1,REG-299
C07297-K1,REG-472
C07297-K1,REG-143
C07297-K1,REG-433
C07297-K1,REG-194
C07297-K1,REG-205
C07297-K1,REG-181
C07297-K1,REG-177
C07297-K1,REG-325
C07297-K1,REG-231
C07297-K1,REG-512
C07297-K1,REG-469
C07297-K1,REG-441
C07297-K1,REG-251
C07297-K1,REG-444
C07297-K1,REG-343
C07297-K1,REG-330
C07297-K2,REG-191
C07297-K2,REG-204
C07297-K2,REG-433
C07297-K2,REG-485
C07297-K2,REG-299
C07297-K2,REG-476
C07297-K2,REG-194
C07297-K2,REG-253
C07297-K2,REG-492
C07297-K2,REG-264
C07297-K2,REG-315
C07297-K2,REG-337
C07297-K2,REG-181
C07297-K2,REG-428
C07297-K2,REG-436
C07297-K2,REG-203
C07297-K2,REG-205
C07297-K2,REG-170
C07297-K2,REG-269
C07297-K2,REG-184
C07297-K2,REG-310
C07297-K2,REG-231
C07297-K2,REG-158
C07297-K2,REG-387
C07297-K2,REG-143
C07311-K1,REG-325
C07474-K1,REG-337
C07518-K2,REG-330
C07518-K2,REG-299
C07594-K1,REG-479
C07612-K1,REG-469
C07612-K1,REG-337
C07612-K1,REG-143
C07671-K1,REG-264
C07671-K2,REG-264
C07671-K2,REG-110
C07671-K2,REG-310
C07671-K2,REG-418
C07671-K2,REG-512
C07671-K2,REG-272
C07671-K2,REG-204
C07671-K2,REG-299
C07671-K2,REG-123
C07671-K2,REG-225
C07671-K2,REG-387
C07671-K2,REG-325
C07671-K2,REG-315
C07671-K2,REG-191
C07718-K1,REG-126
C07735-K1,REG-330
C07741-K2,REG-226
C07847-K2,REG-264
C07858-K2,REG-441
C07969-K1,REG-337
C07987-K1,REG-126
C07987-K2,REG-126
C07987-K2,REG-325
C07987-K2,REG-337
C07987-K2,REG-512
C07987-K2,REG-204
C07987-K2,REG-225
C07987-K2,REG-330
C07987-K2,REG-315
C07987-K2,REG-441
C07987-K2,REG-123
C07987-K2,REG-143
C07987-K2,REG-448
C07987-K2,REG-264
C07987-K2,REG-158
C07987-K2,REG-387
C07987-K2,REG-181
C07987-K2,REG-272
C07987-K2,REG-327
C07987-K2,REG-299
C07987-K2,REG-384
C07987-K2,REG-170
C07987-K2,REG-420
C07987-K2,REG-205
C07987-K2,REG-472
C07987-K2,REG-122
C07987-K2,REG-498
C07987-K2,REG-428
C07987-K2,REG-184
C07987-K2,REG-231
C07987-K2,REG-436
C07987-K2,REG-269
C07987-K2,REG-226
C07987-K2,REG-310
C07989-K1,REG-264
C07997-K1,REG-337
C08083-K1,REG-225
C08106-K1,REG-465
C08106-K1,REG-161
C08106-K1,REG-431
C08106-K1,REG-284
C08299-K1,REG-330
C08299-K1,REG-441
C08299-K1,REG-184
C08299-K1,REG-203
C08299-K1,REG-337
C08299-K1,REG-204
C08299-K1,REG-325
C08363-K1,REG-184
C08366-K1,REG-325
C08374-K1,REG-220
C08374-K1,REG-299
C08374-K1,REG-343
C08374-K1,REG-126
C08450-K2,REG-231
C08450-K2,REG-325
C08496-K1,REG-299
C08531-K1,REG-327
C08605-K1,REG-184
C08623-K1,REG-269
C08623-K1,REG-225
C08623-K1,REG-123
C08623-K1,REG-448
C08623-K1,REG-204
C08623-K2,REG-315
C08623-K2,REG-204
C08623-K2,REG-299
C08623-K2,REG-220
C08623-K2,REG-225
C08623-K2,REG-264
C08623-K2,REG-272
C08623-K2,REG-325
C08623-K2,REG-181
C08623-K2,REG-143
C08623-K2,REG-327
C08623-K2,REG-205
C08623-K2,REG-184
C08623-K2,REG-441
C08623-K2,REG-191
C08623-K2,REG-177
C08623-K2,REG-330
C08623-K2,REG-485
C08623-K2,REG-337
C08623-K2,REG-472
C08623-K2,REG-126
C08623-K2,REG-310
C08623-K2,REG-387
C08623-K2,REG-420
C08623-K2,REG-123
C08623-K2,REG-269
C08623-K2,REG-231
C08623-K2,REG-512
C08623-K2,REG-251
C08623-K2,REG-502
C08623-K2,REG-194
C08623-K2,REG-308
C08623-K2,REG-158
C08623-K2,REG-433
C08623-K2,REG-436
C08623-K2,REG-110
C08623-K2,REG-476
C08623-K2,REG-384
C08623-K2,REG-122
C08623-K2,REG-469
C08623-K2,REG-444
C08623-K2,REG-428
C08623-K2,REG-498
C08623-K2,REG-226
C08623-K2,REG-324
C08623-K2,REG-203
C08623-K2,REG-448
C08623-K2,REG-253
C08623-K2,REG-106
C08623-K2,REG-494
C08623-K2,REG-343
C08623-K2,REG-410
C08623-K2,REG-202
C08737-K1,REG-420
C08833-K1,REG-299
C08918-K2,REG-299
C08918-K2,REG-420
C08922-K1,REG-177
C08922-K1,REG-204
C08943-K2,REG-184
C08989-K2,REG-177
C08989-K2,REG-299
C09049-K1,REG-181
C09132-K1,REG-330
C09165-K2,REG-204
C09195-K1,REG-184
C09241-K2,REG-476
C09249-K1,REG-184
C09274-K1,REG-181
C09274-K1,REG-204
C09301-K2,REG-387
C09347-K1,REG-204
C09443-K1,REG-315
C09468-K2,REG-299
C09470-K1,REG-123
C09471-K2,REG-330
C09471-K2,REG-126
C09565-K1,REG-330
C09589-K1,REG-181
C09616-K1,REG-476
C09684-K1,REG-264
C09804-K1,REG-337
C09854-K1,REG-181
C09873-K1,REG-536
C09906-K1,REG-184
C09933-K1,REG-264
C09933-K2,REG-264
C09933-K2,REG-387
C09933-K2,REG-204
C09933-K2,REG-310
C09933-K2,REG-327
C09933-K2,REG-325
C09933-K2,REG-269
C09933-K2,REG-441
C09933-K2,REG-315
C09933-K2,REG-299
C09933-K2,REG-226
C09933-K2,REG-272
C09933-K2,REG-205
C09933-K2,REG-225
C09933-K2,REG-469
C09933-K2,REG-254
C09933-K2,REG-191
C09933-K2,REG-123
C09933-K2,REG-220
C09933-K2,REG-251
C09933-K2,REG-444
C09933-K2,REG-433
C09933-K2,REG-498
C09933-K2,REG-428
C09933-K2,REG-337
C09933-K2,REG-512
C09933-K2,REG-184
C09933-K2,REG-203
C09933-K2,REG-110
C09933-K2,REG-177
C09933-K2,REG-181
C09933-K2,REG-143
C09981-K2,REG-191
C09988-K1,REG-100
C09988-K1,REG-382
C10020-K1,REG-181
C10068-K1,REG-325
C10193-K2,REG-157
C10193-K2,REG-502
C10245-K1,REG-299
C10308-K1,REG-330
C10320-K1,REG-441
C10320-K1,REG-126
C10349-K1,REG-330
C10366-K1,REG-204
C10390-K1,REG-264
C10434-K1,REG-469
C10434-K1,REG-330
C10434-K1,REG-220
C10434-K1,REG-418
C10434-K1,REG-272
C10434-K1,REG-204
C10448-K1,REG-337
C10553-K1,REG-264
C10640-K1,REG-476
C10842-K1,REG-299
C10936-K1,REG-315
C11000-K2,REG-299
C11000-K2,REG-264
C11000-K2,REG-330
C11000-K2,REG-269
C11005-K1,REG-299
C11082-K1,REG-231
C11143-K1,REG-251
C11159-K1,REG-512
C11193-K1,REG-251
C11227-K2,REG-315
C11309-K1,REG-126
C11309-K1,REG-231
C11309-K1,REG-264
C11385-K1,REG-299
C11385-K1,REG-337
C11464-K2,REG-310
C11496-K2,REG-226
C11543-K2,REG-420
C11543-K2,REG-264
C11637-K1,REG-299
C11670-K2,REG-204
C11709-K2,REG-272
C11786-K1,REG-123
C11833-K1,REG-299
C11865-K1,REG-272
C11891-K1,REG-375
C11923-K1,REG-284
C11923-K2,REG-130
C11923-K2,REG-511
C11923-K2,REG-242
C11923-K2,REG-216
C11923-K2,REG-431
C11923-K2,REG-465
C11923-K2,REG-375
C11923-K2,REG-161
C11923-K2,REG-258
C11923-K2,REG-148
C11923-K2,REG-332
C11923-K2,REG-520
C11923-K2,REG-167
C11923-K2,REG-486
C11923-K2,REG-391
C11923-K2,REG-508
C11923-K2,REG-411
C11923-K2,REG-213
C11923-K2,REG-393
C11923-K2,REG-496
C11923-K2,REG-239
C11923-K2,REG-146
C11923-K2,REG-453
C11923-K2,REG-374
C11923-K2,REG-501
C11923-K2,REG-359
C11923-K2,REG-210
C11923-K2,REG-483
C11923-K2,REG-284
C11923-K2,REG-155
C11923-K2,REG-346
C11923-K2,REG-264
C11929-K2,REG-225
C12136-K2,REG-299
C12150-K1,REG-299
C12166-K2,REG-299
C12211-K1,REG-204
C12211-K1,REG-325
C12265-K1,REG-264
C12265-K2,REG-264
C12267-K2,REG-330
C12382-K1,REG-191
C12382-K1,REG-184
C12382-K1,REG-428
C12382-K1,REG-143
C12382-K1,REG-264
C12382-K1,REG-387
C12382-K1,REG-485
C12382-K1,REG-325
C12382-K1,REG-272
C12382-K1,REG-123
C12382-K1,REG-122
C12382-K1,REG-315
C12382-K1,REG-433
C12382-K1,REG-220
C12382-K1,REG-498
C12382-K1,REG-441
C12382-K1,REG-204
C12382-K1,REG-330
C12382-K1,REG-476
C12382-K1,REG-337
C12382-K1,REG-181
C12382-K1,REG-225
C12382-K1,REG-205
C12382-K1,REG-226
C12382-K1,REG-310
C12382-K1,REG-299
C12382-K1,REG-177
C12382-K1,REG-512
C12382-K1,REG-110
C12382-K1,REG-436
C12382-K1,REG-472
C12382-K1,REG-444
C12382-K1,REG-308
C12382-K1,REG-420
C12382-K1,REG-203
C12382-K1,REG-469
C12382-K1,REG-126
C12382-K1,REG-327
C12382-K1,REG-324
C12382-K1,REG-231
C12585-K1,REG-204
C12645-K1,REG-284
C12796-K1,REG-299
C12897-K1,REG-299
C12897-K1,REG-181
C12897-K1,REG-325
C12961-K2,REG-299
C12983-K1,REG-225
C12993-K1,REG-492
C13015-K1,REG-205
C13086-K2,REG-536
C13148-K1,REG-272
C13171-K2,REG-465
C13171-K2,REG-161
C13171-K2,REG-511
C13171-K2,REG-508
C13171-K2,REG-148
C13171-K2,REG-242
C13171-K2,REG-391
C13171-K2,REG-486
C13171-K2,REG-167
C13171-K2,REG-130
C13171-K2,REG-284
C13171-K2,REG-299
C13180-K1,REG-327
C13260-K1,REG-204
C13291-K1,REG-184
C13328-K1,REG-299
C13440-K2,REG-330
C13487-K1,REG-191
C13487-K1,REG-272
