id,pattern,outcome,exposure_usd
CC-0044,out_of_region_use,confirmed_fraud,13.33
CC-0045,out_of_region_use,confirmed_fraud,1282.82
CC-0046,card_not_present_new_device,confirmed_fraud,10.04
CC-0047,card_not_present_fraud,confirmed_fraud,50.05
CC-0048,card_not_present_fraud,confirmed_fraud,149.96
CC-0049,card_not_present_fraud,confirmed_fraud,399.95
CC-0050,out_of_region_use,confirmed_fraud,48.01
CC-0051,account_takeover,confirmed_fraud,177.02
CC-0052,card_not_present_fraud,confirmed_fraud,52.36
CC-0053,out_of_region_use,confirmed_fraud,774.08
CC-0054,card_not_present_fraud,confirmed_fraud,60.71
CC-0055,card_not_present_fraud,confirmed_fraud,83.69
CC-0056,card_not_present_new_device,confirmed_fraud,40.21
CC-0057,account_takeover,confirmed_fraud,108.42
CC-0058,none,cleared,0.0
CC-0059,card_not_present_new_device,confirmed_fraud,185.01
CC-0060,card_not_present_fraud,confirmed_fraud,899.98
CC-0061,none,cleared,0.0
CC-0062,out_of_region_use,confirmed_fraud,526.98
CC-0063,account_takeover,confirmed_fraud,2659.62
CC-0064,card_not_present_fraud,confirmed_fraud,450.1
CC-0065,none,cleared,0.0
CC-0066,none,cleared,0.0
CC-0067,card_not_present_fraud,confirmed_fraud,111.36
CC-0068,none,cleared,0.0
CC-0069,none,cleared,0.0
CC-0070,account_takeover,confirmed_fraud,334.94
CC-0071,card_not_present_new_device,confirmed_fraud,47.19
CC-0072,out_of_region_use,confirmed_fraud,150.0
CC-0073,card_not_present_new_device,confirmed_fraud,60.78
CC-0074,account_takeover,confirmed_fraud,31.92
CC-0075,card_not_present_fraud,confirmed_fraud,100.07
CC-0076,card_not_present_new_device,confirmed_fraud,299.85
CC-0077,none,cleared,0.0
CC-0078,card_not_present_new_device,confirmed_fraud,131.31
CC-0079,account_takeover,confirmed_fraud,188.62
CC-0080,card_not_present_fraud,confirmed_fraud,29.92
CC-0081,card_not_present_fraud,confirmed_fraud,78.86
CC-0082,none,cleared,0.0
CC-0083,none,cleared,0.0
CC-0084,account_takeover,confirmed_fraud,497.99
CC-0085,account_takeover,confirmed_fraud,298.03
CC-0086,card_not_present_fraud,confirmed_fraud,83.81
CC-0087,out_of_region_use,confirmed_fraud,399.92
CC-0088,none,cleared,0.0
CC-0089,card_not_present_fraud,confirmed_fraud,251.25
CC-0090,out_of_region_use,confirmed_fraud,770.29
CC-0091,none,cleared,0.0
CC-0092,account_takeover,confirmed_fraud,53.93
CC-0093,account_takeover,confirmed_fraud,94.98
CC-0094,card_not_present_fraud,confirmed_fraud,37.22
CC-0095,out_of_region_use,confirmed_fraud,447.09
CC-0096,none,cleared,0.0
CC-0097,card_not_present_fraud,confirmed_fraud,51.29
CC-0098,none,cleared,0.0
CC-0099,none,cleared,0.0
CC-0100,out_of_region_use,confirmed_fraud,195.92
CC-0101,card_not_present_fraud,confirmed_fraud,150.06
CC-0102,account_takeover,confirmed_fraud,63.95
CC-0103,account_takeover,confirmed_fraud,49.97
CC-0104,out_of_region_use,confirmed_fraud,92.02
CC-0105,card_not_present_fraud,confirmed_fraud,199.95
CC-0106,out_of_region_use,confirmed_fraud,240.05
CC-0107,out_of_region_use,confirmed_fraud,49.88
CC-0108,out_of_region_use,confirmed_fraud,116.92
CC-0109,account_takeover,confirmed_fraud,300.11
CC-0110,card_not_present_new_device,confirmed_fraud,83.79
CC-0111,none,cleared,0.0
CC-0112,out_of_region_use,confirmed_fraud,102.08
CC-0113,account_takeover,confirmed_fraud,812.89
CC-0114,account_takeover,confirmed_fraud,270.86
CC-0115,out_of_region_use,confirmed_fraud,110.0
CC-0116,none,cleared,0.0
CC-0117,card_not_present_new_device,confirmed_fraud,100.06
CC-0118,account_takeover,confirmed_fraud,3205.87
CC-0119,card_not_present_fraud,confirmed_fraud,100.06
CC-0120,none,cleared,0.0
CC-0121,account_takeover,confirmed_fraud,1551.06
CC-0122,card_not_present_new_device,confirmed_fraud,1656.0
CC-0123,card_not_present_new_device,confirmed_fraud,200.02
CC-0124,out_of_region_use,confirmed_fraud,1256.51
CC-0125,none,cleared,0.0
CC-0126,account_takeover,confirmed_fraud,54.1
CC-0127,card_not_present_fraud,confirmed_fraud,500.07
CC-0128,account_takeover,confirmed_fraud,924.78
CC-0129,out_of_region_use,confirmed_fraud,58.91
CC-0130,none,cleared,0.0
CC-0131,account_takeover,confirmed_fraud,87.02
CC-0132,out_of_region_use,confirmed_fraud,171.93
CC-0133,account_takeover,confirmed_fraud,557.41
CC-0134,account_takeover,confirmed_fraud,107.98
CC-0135,card_not_present_new_device,confirmed_fraud,428.65
CC-0136,account_takeover,confirmed_fraud,345.86
CC-0137,card_testing,confirmed_fraud,402.43
CC-0138,none,cleared,0.0
CC-0139,card_not_present_fraud,confirmed_fraud,199.93
CC-0140,out_of_region_use,confirmed_fraud,29.05
CC-0141,out_of_region_use,confirmed_fraud,1725.82
CC-0142,card_not_present_fraud,confirmed_fraud,134.93
CC-0143,out_of_region_use,confirmed_fraud,158.98
CC-0144,out_of_region_use,confirmed_fraud,311.98
CC-0145,account_takeover,confirmed_fraud,853.12
CC-0146,card_not_present_fraud,confirmed_fraud,299.93
CC-0147,account_takeover,confirmed_fraud,497.15
CC-0148,account_takeover,confirmed_fraud,335.02
CC-0149,none,cleared,0.0
CC-0150,out_of_region_use,confirmed_fraud,24.98
CC-0151,card_not_present_fraud,confirmed_fraud,1300.37
CC-0152,account_takeover,confirmed_fraud,308.67
CC-0153,account_takeover,confirmed_fraud,10081.08
CC-0154,card_not_present_fraud,confirmed_fraud,15.06
CC-0155,card_not_present_fraud,confirmed_fraud,60.67
CC-0156,out_of_region_use,confirmed_fraud,444.99
CC-0157,account_takeover,confirmed_fraud,33.91
CC-0158,account_takeover,confirmed_fraud,170.99
CC-0159,account_takeover,confirmed_fraud,50.03
CC-0160,account_takeover,confirmed_fraud,226.03
CC-0161,card_not_present_fraud,confirmed_fraud,300.06
CC-0162,card_not_present_new_device,confirmed_fraud,40.0
CC-0163,account_takeover,confirmed_fraud,140.91
CC-0164,card_not_present_fraud,confirmed_fraud,200.07
CC-0165,none,cleared,0.0
CC-0166,card_not_present_new_device,confirmed_fraud,199.97
CC-0167,card_not_present_new_device,confirmed_fraud,325.04
CC-0168,account_takeover,confirmed_fraud,47.86
CC-0169,card_not_present_fraud,confirmed_fraud,85.52
CC-0170,none,cleared,0.0
CC-0171,out_of_region_use,confirmed_fraud,110.0
CC-0172,account_takeover,confirmed_fraud,88.94
CC-0173,card_not_present_fraud,confirmed_fraud,49.56
CC-0174,out_of_region_use,confirmed_fraud,117.03
CC-0175,none,cleared,0.0
CC-0176,out_of_region_use,confirmed_fraud,1046.09
CC-0177,account_takeover,confirmed_fraud,263.7
CC-0178,card_not_present_new_device,confirmed_fraud,90.87
CC-0179,account_takeover,confirmed_fraud,91.97
CC-0180,none,cleared,0.0
CC-0181,account_takeover,confirmed_fraud,100.06
CC-0182,none,cleared,0.0
CC-0183,card_not_present_new_device,confirmed_fraud,75.04
CC-0184,out_of_region_use,confirmed_fraud,711.97
CC-0185,card_not_present_fraud,confirmed_fraud,47.81
CC-0186,out_of_region_use,confirmed_fraud,1186.96
CC-0187,out_of_region_use,confirmed_fraud,260.01
CC-0188,out_of_region_use,confirmed_fraud,557.61
CC-0189,none,cleared,0.0
CC-0190,card_not_present_fraud,confirmed_fraud,123.47
CC-0191,account_takeover,confirmed_fraud,48.92
CC-0192,out_of_region_use,confirmed_fraud,1442.99
CC-0193,account_takeover,confirmed_fraud,474.93
CC-0194,account_takeover,confirmed_fraud,161.09
CC-0195,card_not_present_fraud,confirmed_fraud,64.65
CC-0196,none,cleared,0.0
CC-0197,card_not_present_fraud,confirmed_fraud,50.15
CC-0198,none,cleared,0.0
CC-0199,card_not_present_fraud,confirmed_fraud,194.88
CC-0200,account_takeover,confirmed_fraud,879.97
CC-0201,out_of_region_use,confirmed_fraud,220.01
CC-0202,card_not_present_new_device,confirmed_fraud,299.91
CC-0203,out_of_region_use,confirmed_fraud,739.9
CC-0204,card_not_present_fraud,confirmed_fraud,78.84
CC-0205,out_of_region_use,confirmed_fraud,39.41
CC-0206,card_not_present_fraud,confirmed_fraud,64.74
CC-0207,account_takeover,confirmed_fraud,226.04
CC-0208,none,cleared,0.0
CC-0209,out_of_region_use,confirmed_fraud,267.02
CC-0210,none,cleared,0.0
CC-0211,card_not_present_fraud,confirmed_fraud,160.7
CC-0212,account_takeover,confirmed_fraud,60.0
CC-0213,card_not_present_fraud,confirmed_fraud,110.02
CC-0214,out_of_region_use,confirmed_fraud,280.0
CC-0215,out_of_region_use,confirmed_fraud,220.93
CC-0216,account_takeover,confirmed_fraud,335.05
CC-0217,out_of_region_use,confirmed_fraud,334.99
CC-0218,card_not_present_fraud,confirmed_fraud,100.06
CC-0219,none,cleared,0.0
CC-0220,account_takeover,confirmed_fraud,53.0
CC-0221,out_of_region_use,confirmed_fraud,335.01
CC-0222,none,cleared,0.0
CC-0223,card_not_present_new_device,confirmed_fraud,160.3
CC-0224,none,cleared,0.0
CC-0225,out_of_region_use,confirmed_fraud,57.97
CC-0226,out_of_region_use,confirmed_fraud,777.97
CC-0227,card_not_present_fraud,confirmed_fraud,78.86
CC-0228,card_not_present_new_device,confirmed_fraud,443.48
CC-0229,none,cleared,0.0
CC-0230,card_not_present_new_device,confirmed_fraud,307.24
CC-0231,out_of_region_use,confirmed_fraud,58.94
CC-0232,card_not_present_new_device,confirmed_fraud,1000.04
CC-0233,card_not_present_new_device,confirmed_fraud,14.92
CC-0234,none,cleared,0.0
CC-0235,account_takeover,confirmed_fraud,65.89
CC-0236,out_of_region_use,confirmed_fraud,135.98
CC-0237,account_takeover,confirmed_fraud,288.04
CC-0238,card_not_present_new_device,confirmed_fraud,617.74
CC-0239,none,cleared,0.0
CC-0240,card_not_present_fraud,confirmed_fraud,72.16
CC-0241,card_not_present_new_device,confirmed_fraud,99.98
CC-0242,out_of_region_use,confirmed_fraud,225.93
CC-0243,out_of_region_use,confirmed_fraud,140.15
CC-0244,account_takeover,confirmed_fraud,729.95
CC-0245,card_not_present_new_device,confirmed_fraud,50.04
CC-0246,account_takeover,confirmed_fraud,981.93
CC-0247,card_not_present_fraud,confirmed_fraud,78.86
CC-0248,none,cleared,0.0
CC-0249,card_not_present_new_device,confirmed_fraud,74.92
CC-0250,account_takeover,confirmed_fraud,224.87
CC-0251,account_takeover,confirmed_fraud,99.95
CC-0252,none,cleared,0.0
CC-0253,account_takeover,confirmed_fraud,40.06
CC-0254,account_takeover,confirmed_fraud,321.87
CC-0255,account_takeover,confirmed_fraud,1167.08
CC-0256,account_takeover,confirmed_fraud,88.99
CC-0257,card_not_present_fraud,confirmed_fraud,49.96
CC-0258,account_takeover,confirmed_fraud,35.98
CC-0259,none,cleared,0.0
CC-0260,none,cleared,0.0
CC-0261,none,cleared,0.0
CC-0262,card_not_present_fraud,confirmed_fraud,300.09
CC-0263,card_not_present_fraud,confirmed_fraud,99.94
CC-0264,none,cleared,0.0
CC-0265,none,cleared,0.0
CC-0266,card_not_present_fraud,confirmed_fraud,78.78
CC-0267,none,cleared,0.0
CC-0268,card_not_present_new_device,confirmed_fraud,50.08
CC-0269,none,cleared,0.0
CC-0270,none,cleared,0.0
CC-0271,none,cleared,0.0
CC-0272,card_not_present_fraud,confirmed_fraud,48.25
CC-0273,card_not_present_new_device,confirmed_fraud,105.02
CC-0274,out_of_region_use,confirmed_fraud,610.42
CC-0275,out_of_region_use,confirmed_fraud,369.0
CC-0276,out_of_region_use,confirmed_fraud,283.08
CC-0277,card_not_present_fraud,confirmed_fraud,300.08
CC-0278,card_not_present_fraud,confirmed_fraud,50.07
CC-0279,account_takeover,confirmed_fraud,624.85
CC-0280,card_not_present_fraud,confirmed_fraud,449.93
CC-0281,none,cleared,0.0
CC-0282,out_of_region_use,confirmed_fraud,541.85
CC-0283,card_not_present_fraud,confirmed_fraud,149.93
CC-0284,card_not_present_fraud,confirmed_fraud,35.68
CC-0285,account_takeover,confirmed_fraud,433.89
CC-0286,card_not_present_fraud,confirmed_fraud,300.16
CC-0287,out_of_region_use,confirmed_fraud,226.05
CC-0288,out_of_region_use,confirmed_fraud,179.97
CC-0289,card_not_present_fraud,confirmed_fraud,150.08
CC-0290,card_testing,confirmed_fraud,144.56
CC-0291,account_takeover,confirmed_fraud,1124.6
CC-0292,none,cleared,0.0
CC-0293,account_takeover,confirmed_fraud,233.91
CC-0294,account_takeover,confirmed_fraud,981.97
CC-0295,account_takeover,confirmed_fraud,1793.94
CC-0296,none,cleared,0.0
CC-0297,account_takeover,confirmed_fraud,554.07
CC-0298,account_takeover,confirmed_fraud,98.01
CC-0299,none,cleared,0.0
CC-0300,none,cleared,0.0
CC-0301,none,cleared,0.0
CC-0302,card_not_present_fraud,confirmed_fraud,48.87
CC-0303,card_not_present_fraud,confirmed_fraud,100.01
CC-0304,out_of_region_use,confirmed_fraud,38.95
CC-0305,card_not_present_new_device,confirmed_fraud,177.88
CC-0306,account_takeover,confirmed_fraud,762.0
CC-0307,card_not_present_new_device,confirmed_fraud,25.23
CC-0308,none,cleared,0.0
CC-0309,card_not_present_fraud,confirmed_fraud,50.0
CC-0310,out_of_region_use,confirmed_fraud,99.44
CC-0311,card_not_present_fraud,confirmed_fraud,78.86
CC-0312,card_not_present_fraud,confirmed_fraud,90.1
CC-0313,account_takeover,confirmed_fraud,57.88
CC-0314,card_not_present_fraud,confirmed_fraud,225.09
CC-0315,none,cleared,0.0
CC-0316,account_takeover,confirmed_fraud,146.06
CC-0317,none,cleared,0.0
CC-0318,none,cleared,0.0
CC-0319,account_takeover,confirmed_fraud,117.07
CC-0320,card_not_present_fraud,confirmed_fraud,500.04
CC-0321,card_not_present_fraud,confirmed_fraud,70.17
CC-0322,card_not_present_new_device,confirmed_fraud,225.04
CC-0323,out_of_region_use,confirmed_fraud,176.06
CC-0324,card_not_present_new_device,confirmed_fraud,8.6
CC-0325,account_takeover,confirmed_fraud,117.09
CC-0326,out_of_region_use,confirmed_fraud,96.94
CC-0327,out_of_region_use,confirmed_fraud,180.99
CC-0328,card_not_present_fraud,confirmed_fraud,222.45
CC-0329,account_takeover,confirmed_fraud,137.11
CC-0330,account_takeover,confirmed_fraud,249.95
CC-0331,card_not_present_new_device,confirmed_fraud,677.96
CC-0332,card_not_present_new_device,confirmed_fraud,150.09
CC-0333,account_takeover,confirmed_fraud,152.44
CC-0334,card_not_present_new_device,confirmed_fraud,170.2
CC-0335,card_not_present_fraud,confirmed_fraud,450.05
CC-0336,account_takeover,confirmed_fraud,280.08
CC-0337,card_not_present_fraud,confirmed_fraud,64.66
CC-0338,none,cleared,0.0
CC-0339,none,cleared,0.0
CC-0340,card_not_present_fraud,confirmed_fraud,29.98
CC-0341,account_takeover,confirmed_fraud,49.06
CC-0342,account_takeover,confirmed_fraud,697.03
CC-0343,account_takeover,confirmed_fraud,485.94
CC-0344,none,cleared,0.0
CC-0345,none,cleared,0.0
CC-0346,card_not_present_fraud,confirmed_fraud,224.91
CC-0347,card_not_present_new_device,confirmed_fraud,1950.02
CC-0348,none,cleared,0.0
CC-0349,card_not_present_fraud,confirmed_fraud,9.99
CC-0350,none,cleared,0.0
CC-0351,card_not_present_fraud,confirmed_fraud,64.61
CC-0352,account_takeover,confirmed_fraud,26.21
CC-0353,out_of_region_use,confirmed_fraud,55.03
CC-0354,none,cleared,0.0
CC-0355,out_of_region_use,confirmed_fraud,117.01
CC-0356,card_not_present_new_device,confirmed_fraud,40.08
CC-0357,card_not_present_fraud,confirmed_fraud,139.75
CC-0358,out_of_region_use,confirmed_fraud,905.81
CC-0359,out_of_region_use,confirmed_fraud,74.97
CC-0360,out_of_region_use,confirmed_fraud,43.92
CC-0361,account_takeover,confirmed_fraud,287.78
CC-0362,none,cleared,0.0
CC-0363,account_takeover,confirmed_fraud,80.04
CC-0364,account_takeover,confirmed_fraud,286.04
CC-0365,card_not_present_new_device,confirmed_fraud,262.5
CC-0366,out_of_region_use,confirmed_fraud,93.93
CC-0367,out_of_region_use,confirmed_fraud,33.91
CC-0368,none,cleared,0.0
CC-0369,out_of_region_use,confirmed_fraud,191.0
CC-0370,card_testing,confirmed_fraud,426.72
CC-0371,out_of_region_use,confirmed_fraud,445.08
CC-0372,card_not_present_fraud,confirmed_fraud,150.45
CC-0373,out_of_region_use,confirmed_fraud,55.0
CC-0374,none,cleared,0.0
CC-0375,card_not_present_new_device,confirmed_fraud,98.59
CC-0376,card_not_present_fraud,confirmed_fraud,400.01
CC-0377,card_not_present_new_device,confirmed_fraud,458.6
CC-0378,out_of_region_use,confirmed_fraud,317.02
CC-0379,card_not_present_fraud,confirmed_fraud,95.07
CC-0380,card_not_present_fraud,confirmed_fraud,145.13
CC-0381,account_takeover,confirmed_fraud,5675.86
CC-0382,none,cleared,0.0
CC-0383,none,cleared,0.0
CC-0384,none,cleared,0.0
CC-0385,account_takeover,confirmed_fraud,34.94
CC-0386,none,cleared,0.0
CC-0387,out_of_region_use,confirmed_fraud,2056.31
CC-0388,none,cleared,0.0
CC-0389,card_not_present_fraud,confirmed_fraud,79.02
CC-0390,account_takeover,confirmed_fraud,92.07
CC-0391,account_takeover,confirmed_fraud,92.08
CC-0392,card_not_present_fraud,confirmed_fraud,184.17
CC-0393,none,cleared,0.0
CC-0394,out_of_region_use,confirmed_fraud,488.0
CC-0395,card_not_present_fraud,confirmed_fraud,250.0
CC-0396,card_not_present_new_device,confirmed_fraud,149.96
CC-0397,none,cleared,0.0
CC-0398,out_of_region_use,confirmed_fraud,44.5
CC-0399,none,cleared,0.0
CC-0400,none,cleared,0.0
CC-0401,card_not_present_fraud,confirmed_fraud,53.81
CC-0402,out_of_region_use,confirmed_fraud,133.67
CC-0403,card_not_present_new_device,confirmed_fraud,76.3
CC-0404,card_not_present_fraud,confirmed_fraud,263.46
CC-0405,none,cleared,0.0
CC-0406,card_not_present_fraud,confirmed_fraud,94.06
CC-0407,none,cleared,0.0
CC-0408,none,cleared,0.0
CC-0409,card_not_present_fraud,confirmed_fraud,174.96
CC-0410,out_of_region_use,confirmed_fraud,233.93
CC-0411,account_takeover,confirmed_fraud,226.08
CC-0412,card_not_present_fraud,confirmed_fraud,60.8
CC-0413,none,cleared,0.0
CC-0414,account_takeover,confirmed_fraud,35.0
CC-0415,card_not_present_new_device,confirmed_fraud,500.02
CC-0416,card_not_present_fraud,confirmed_fraud,10.03
CC-0417,card_not_present_new_device,confirmed_fraud,32.01
CC-0418,card_not_present_new_device,confirmed_fraud,222.77
CC-0419,card_not_present_fraud,confirmed_fraud,399.98
CC-0420,card_not_present_fraud,confirmed_fraud,59.18
CC-0421,out_of_region_use,confirmed_fraud,135.04
CC-0422,account_takeover,confirmed_fraud,38.95
CC-0423,card_not_present_fraud,confirmed_fraud,149.99
CC-0424,card_not_present_new_device,confirmed_fraud,12.07
CC-0425,none,cleared,0.0
CC-0426,out_of_region_use,confirmed_fraud,335.07
CC-0427,out_of_region_use,confirmed_fraud,472.11
CC-0428,none,cleared,0.0
CC-0429,card_not_present_new_device,confirmed_fraud,143.21
CC-0430,none,cleared,0.0
CC-0431,out_of_region_use,confirmed_fraud,53.86
CC-0432,card_not_present_fraud,confirmed_fraud,50.08
CC-0433,none,cleared,0.0
CC-0434,card_not_present_fraud,confirmed_fraud,64.2
CC-0435,none,cleared,0.0
CC-0436,out_of_region_use,confirmed_fraud,103.52
CC-0437,card_not_present_fraud,confirmed_fraud,283.82
CC-0438,none,cleared,0.0
CC-0439,none,cleared,0.0
CC-0440,card_not_present_fraud,confirmed_fraud,19.86
CC-0441,none,cleared,0.0
CC-0442,out_of_region_use,confirmed_fraud,334.91
CC-0443,none,cleared,0.0
CC-0444,none,cleared,0.0
CC-0445,none,cleared,0.0
CC-0446,card_not_present_new_device,confirmed_fraud,16.86
CC-0447,card_not_present_fraud,confirmed_fraud,2249.73
CC-0448,card_not_present_fraud,confirmed_fraud,449.96
CC-0449,account_takeover,confirmed_fraud,227.2
CC-0450,account_takeover,confirmed_fraud,149.99
CC-0451,card_not_present_new_device,confirmed_fraud,749.84
CC-0452,account_takeover,confirmed_fraud,3476.23
CC-0453,card_not_present_new_device,confirmed_fraud,37.29
CC-0454,account_takeover,confirmed_fraud,940.94
CC-0455,account_takeover,confirmed_fraud,2738.94
CC-0456,account_takeover,confirmed_fraud,474.13
CC-0457,out_of_region_use,confirmed_fraud,97.07
CC-0458,out_of_region_use,confirmed_fraud,165.04
CC-0459,out_of_region_use,confirmed_fraud,1223.96
CC-0460,out_of_region_use,confirmed_fraud,248.91
CC-0461,card_not_present_fraud,confirmed_fraud,24.1
CC-0462,card_not_present_fraud,confirmed_fraud,200.02
CC-0463,card_not_present_new_device,confirmed_fraud,864.1
CC-0464,card_not_present_new_device,confirmed_fraud,400.0
CC-0465,out_of_region_use,confirmed_fraud,28.91
CC-0466,account_takeover,confirmed_fraud,116.92
CC-0467,card_not_present_new_device,confirmed_fraud,649.77
CC-0468,none,cleared,0.0
CC-0469,card_not_present_fraud,confirmed_fraud,104.68
CC-0470,none,cleared,0.0
CC-0471,none,cleared,0.0
CC-0472,account_takeover,confirmed_fraud,118.0
CC-0473,none,cleared,0.0
CC-0474,card_not_present_fraud,confirmed_fraud,300.01
CC-0475,card_not_present_new_device,confirmed_fraud,449.92
CC-0476,none,cleared,0.0
CC-0477,card_not_present_new_device,confirmed_fraud,100.04
CC-0478,account_takeover,confirmed_fraud,58.96
CC-0479,none,cleared,0.0
CC-0480,account_takeover,confirmed_fraud,2623.31
CC-0481,account_takeover,confirmed_fraud,99.95
CC-0482,card_not_present_fraud,confirmed_fraud,655.68
CC-0483,none,cleared,0.0
CC-0484,card_not_present_fraud,confirmed_fraud,98.08
CC-0485,card_not_present_new_device,confirmed_fraud,299.97
CC-0486,none,cleared,0.0
CC-0487,none,cleared,0.0
CC-0488,none,cleared,0.0
CC-0489,none,cleared,0.0
CC-0490,account_takeover,confirmed_fraud,312.01
CC-0491,card_not_present_fraud,confirmed_fraud,99.93
CC-0492,none,cleared,0.0
CC-0493,none,cleared,0.0
CC-0494,out_of_region_use,confirmed_fraud,107.93
CC-0495,out_of_region_use,confirmed_fraud,93.07
CC-0496,card_not_present_new_device,confirmed_fraud,681.69
CC-0497,card_not_present_fraud,confirmed_fraud,123.3
CC-0498,account_takeover,confirmed_fraud,2059.46
CC-0499,card_not_present_fraud,confirmed_fraud,100.13
CC-0500,account_takeover,confirmed_fraud,48.4
CC-0501,account_takeover,confirmed_fraud,462.16
CC-0502,card_not_present_new_device,confirmed_fraud,449.97
CC-0503,card_not_present_fraud,confirmed_fraud,46.4
CC-0504,account_takeover,confirmed_fraud,422.03
CC-0505,out_of_region_use,confirmed_fraud,1524.02
CC-0506,card_not_present_fraud,confirmed_fraud,312.14
CC-0507,card_not_present_new_device,confirmed_fraud,1074.49
CC-0508,out_of_region_use,confirmed_fraud,117.04
CC-0509,out_of_region_use,confirmed_fraud,78.52
CC-0510,card_not_present_new_device,confirmed_fraud,200.02
CC-0511,card_not_present_fraud,confirmed_fraud,99.96
CC-0512,card_not_present_new_device,confirmed_fraud,449.9
CC-0513,account_takeover,confirmed_fraud,26.49
CC-0514,card_not_present_fraud,confirmed_fraud,150.04
CC-0515,account_takeover,confirmed_fraud,43.89
CC-0516,none,cleared,0.0
CC-0517,account_takeover,confirmed_fraud,107.99
CC-0518,account_takeover,confirmed_fraud,433.01
CC-0519,card_not_present_new_device,confirmed_fraud,1500.1
CC-0520,card_not_present_fraud,confirmed_fraud,45.49
CC-0521,card_not_present_new_device,confirmed_fraud,99.96
CC-0522,none,cleared,0.0
CC-0523,out_of_region_use,confirmed_fraud,1906.88
CC-0524,account_takeover,confirmed_fraud,715.41
CC-0525,none,cleared,0.0
CC-0526,none,cleared,0.0
CC-0527,account_takeover,confirmed_fraud,146.92
CC-0528,card_not_present_new_device,confirmed_fraud,923.83
CC-0529,account_takeover,confirmed_fraud,245.95
CC-0530,out_of_region_use,confirmed_fraud,546.08
CC-0531,card_not_present_new_device,confirmed_fraud,747.05
CC-0532,out_of_region_use,confirmed_fraud,49.06
CC-0533,card_not_present_fraud,confirmed_fraud,79.58
CC-0534,none,cleared,0.0
CC-0535,card_not_present_fraud,confirmed_fraud,45.57
CC-0536,none,cleared,0.0
CC-0537,account_takeover,confirmed_fraud,342.07
CC-0538,card_not_present_fraud,confirmed_fraud,499.91
CC-0539,none,cleared,0.0
CC-0540,card_not_present_new_device,confirmed_fraud,45.58
CC-0541,card_not_present_new_device,confirmed_fraud,203.64
CC-0542,card_not_present_fraud,confirmed_fraud,99.09
CC-0543,account_takeover,confirmed_fraud,101.07
CC-0544,card_not_present_fraud,confirmed_fraud,930.09
CC-0545,account_takeover,confirmed_fraud,28.93
CC-0546,none,cleared,0.0
CC-0547,card_not_present_fraud,confirmed_fraud,434.78
CC-0548,account_takeover,confirmed_fraud,2383.98
CC-0549,card_not_present_fraud,confirmed_fraud,133.2
CC-0550,card_not_present_new_device,confirmed_fraud,149.99
CC-0551,out_of_region_use,confirmed_fraud,76.94
CC-0552,card_not_present_fraud,confirmed_fraud,104.61
CC-0553,none,cleared,0.0
CC-0554,out_of_region_use,confirmed_fraud,56.55
CC-0555,out_of_region_use,confirmed_fraud,901.9
CC-0556,card_not_present_new_device,confirmed_fraud,250.04
CC-0557,out_of_region_use,confirmed_fraud,560.01
CC-0558,card_not_present_new_device,confirmed_fraud,150.09
CC-0559,none,cleared,0.0
CC-0560,none,cleared,0.0
CC-0561,none,cleared,0.0
CC-0562,card_not_present_new_device,confirmed_fraud,163.96
CC-0563,card_not_present_fraud,confirmed_fraud,52.65
CC-0564,account_takeover,confirmed_fraud,793.68
