id,amount,ts,product_cd,channel,risk_score,card1,card5,addr1,addr2,p_emaildomain,r_emaildomain
3001528,14.54,2016-07-02 20:20:38,C,online,0.35,21363.0,138.0,,,yahoo.com,yahoo.com
3001546,32.24,2016-07-02 20:31:32,C,online,0.21,21363.0,138.0,,,hotmail.com,hotmail.com
3001567,257.88,2016-07-02 20:37:52,W,in_person,0.01,12947.0,166.0,204.0,87.0,gmail.com,
3001651,48.87,2016-07-02 21:08:48,C,online,0.35,21363.0,138.0,,,live.com,live.com
3001662,49.95,2016-07-02 21:12:34,W,in_person,0.01,19248.0,226.0,325.0,87.0,gmail.com,
3001667,63.84,2016-07-02 21:13:27,C,online,0.2,21363.0,138.0,,,gmail.com,gmail.com
3001672,82.82,2016-07-02 21:16:21,C,online,0.07,21363.0,138.0,,,hotmail.com,hotmail.com
3001689,17.84,2016-07-02 21:22:23,C,online,0.27,21363.0,138.0,,,hotmail.com,hotmail.com
3001693,29.01,2016-07-02 21:23:56,W,in_person,0.02,22756.0,117.0,264.0,87.0,yahoo.com,
3001712,46.36,2016-07-02 21:29:45,C,online,0.01,21363.0,138.0,,,gmail.com,gmail.com
3001718,99.92,2016-07-02 21:33:32,H,online,0.39,15158.0,219.0,330.0,87.0,gmail.com,gmail.com
3001738,31.3,2016-07-02 21:41:31,C,online,0.22,21363.0,138.0,,,gmail.com,gmail.com
3001764,199.99,2016-07-02 21:55:39,W,in_person,0.11,19248.0,226.0,325.0,87.0,,
3001775,58.95,2016-07-02 22:02:26,W,in_person,0.12,19248.0,226.0,325.0,87.0,anonymous.com,
3001790,48.14,2016-07-02 22:10:03,C,online,0.05,10114.0,102.0,,,yahoo.com.mx,yahoo.com.mx
3001793,87.05,2016-07-02 22:10:40,W,in_person,0.03,22756.0,117.0,264.0,87.0,gmail.com,
3001820,20.36,2016-07-02 22:23:36,C,online,0.07,21363.0,138.0,,,hotmail.com,hotmail.com
3001823,74.93,2016-07-02 22:24:01,C,online,0.14,21363.0,138.0,,,gmail.com,gmail.com
3001879,14.24,2016-07-02 22:48:13,C,online,0.36,21363.0,138.0,,,hotmail.com,hotmail.com
3001887,199.95,2016-07-02 22:50:31,R,online,0.19,19248.0,226.0,325.0,87.0,anonymous.com,gmail.com
3001924,58.95,2016-07-02 23:03:46,W,in_person,0.03,19248.0,226.0,231.0,87.0,,
3001935,57.95,2016-07-02 23:10:13,W,in_person,0.16,22756.0,117.0,110.0,87.0,yahoo.com,
3001973,18.05,2016-07-02 23:21:42,C,online,0.08,21363.0,138.0,,,live.com.mx,live.com.mx
3002057,102.94,2016-07-02 23:54:24,W,in_person,0.07,19248.0,226.0,325.0,87.0,,
3002076,422.51,2016-07-03 00:02:09,W,in_person,0.02,19248.0,226.0,325.0,87.0,mail.com,
3002087,32.91,2016-07-03 00:05:16,C,online,0.71,21363.0,138.0,,,hotmail.com,hotmail.com
3002120,42.22,2016-07-03 00:15:17,C,online,0.27,21363.0,138.0,,,outlook.com,outlook.com
3002124,130.98,2016-07-03 00:15:49,W,in_person,0.05,22756.0,117.0,264.0,87.0,yahoo.com,
3002140,2.53,2016-07-03 00:21:28,C,online,0.11,21363.0,138.0,,,hotmail.com,hotmail.com
3002149,27.77,2016-07-03 00:22:55,C,online,0.55,21363.0,138.0,,,gmail.com,gmail.com
3002162,42.6,2016-07-03 00:25:35,C,online,0.19,21363.0,138.0,,,anonymous.com,anonymous.com
3002165,29.91,2016-07-03 00:26:08,W,in_person,0.06,19248.0,226.0,325.0,87.0,,
3002167,77.85,2016-07-03 00:27:26,C,online,0.09,21363.0,138.0,,,gmail.com,gmail.com
3002173,58.91,2016-07-03 00:28:54,W,in_person,0.23,19248.0,226.0,325.0,87.0,gmail.com,
3002179,5.05,2016-07-03 00:30:29,C,online,0.1,21363.0,138.0,,,gmail.com,gmail.com
3002181,59.92,2016-07-03 00:31:04,W,in_person,0.05,19248.0,226.0,325.0,87.0,,
3002188,11.82,2016-07-03 00:33:24,C,online,0.22,21363.0,138.0,,,anonymous.com,anonymous.com
3002197,11.71,2016-07-03 00:34:31,C,online,0.01,21363.0,138.0,,,anonymous.com,anonymous.com
3002221,49.96,2016-07-03 00:38:45,R,online,0.5,11539.0,226.0,126.0,87.0,comcast.net,comcast.net
3002225,23.74,2016-07-03 00:39:37,C,online,0.17,21363.0,138.0,,,anonymous.com,anonymous.com
3002228,23.78,2016-07-03 00:40:18,C,online,0.47,21363.0,138.0,,,anonymous.com,anonymous.com
3002231,113.08,2016-07-03 00:40:59,W,in_person,0.08,19248.0,226.0,325.0,87.0,yahoo.com,
3002234,24.95,2016-07-03 00:41:43,C,online,0.01,21363.0,138.0,,,gmail.com,gmail.com
3002248,99.01,2016-07-03 00:44:38,W,in_person,0.11,19248.0,226.0,325.0,87.0,yahoo.com,
3002290,19.38,2016-07-03 00:54:25,C,online,0.16,21363.0,138.0,,,live.com.mx,live.com.mx
3002295,28.46,2016-07-03 00:55:44,C,online,0.04,21363.0,138.0,,,hotmail.com,hotmail.com
3002300,74.97,2016-07-03 00:57:14,W,in_person,0.24,15868.0,226.0,264.0,87.0,yahoo.com,
3002337,23.92,2016-07-03 01:07:44,W,in_person,0.06,22756.0,117.0,264.0,87.0,gmail.com,
3002393,19.59,2016-07-03 01:23:42,C,online,0.11,21363.0,138.0,,,gmail.com,gmail.com
3002431,48.0,2016-07-03 01:37:21,W,in_person,0.13,15868.0,226.0,264.0,87.0,,
3002451,28.58,2016-07-03 01:43:14,C,online,0.06,21363.0,138.0,,,hotmail.com,hotmail.com
3002455,33.21,2016-07-03 01:44:24,W,in_person,0.11,12947.0,166.0,325.0,87.0,gmail.com,
3002461,21.54,2016-07-03 01:47:56,C,online,0.08,21363.0,138.0,,,gmail.com,gmail.com
3002493,48.31,2016-07-03 01:59:54,C,online,0.03,21363.0,138.0,,,gmail.com,gmail.com
3002503,12.24,2016-07-03 02:01:46,C,online,0.93,21363.0,138.0,,,hotmail.com,hotmail.com
3002532,12.12,2016-07-03 02:07:29,C,online,0.05,21363.0,138.0,,,hotmail.com,hotmail.com
3002541,16.23,2016-07-03 02:09:38,C,online,0.06,21363.0,138.0,,,gmail.com,gmail.com
3002561,53.04,2016-07-03 02:17:07,W,in_person,0.34,12947.0,166.0,272.0,87.0,gmail.com,
3002562,15.19,2016-07-03 02:17:22,C,online,0.03,21363.0,138.0,,,hotmail.com,hotmail.com
3002577,15.09,2016-07-03 02:21:51,W,in_person,0.03,19248.0,226.0,325.0,87.0,live.com,
3002601,6.04,2016-07-03 02:30:00,S,online,0.8,12947.0,166.0,203.0,87.0,,gmail.com
3002634,41.14,2016-07-03 02:43:06,C,online,0.59,21363.0,138.0,,,gmail.com,gmail.com
3002661,34.04,2016-07-03 02:55:22,C,online,0.05,21363.0,138.0,,,anonymous.com,anonymous.com
3002669,107.88,2016-07-03 02:59:04,W,in_person,0.3,22756.0,117.0,264.0,87.0,gmail,
3002670,5.99,2016-07-03 02:59:54,S,online,0.11,12947.0,166.0,203.0,87.0,,gmail.com
3002693,749.98,2016-07-03 03:13:40,W,in_person,0.62,19248.0,226.0,325.0,87.0,gmail.com,
3002694,63.28,2016-07-03 03:14:46,C,online,0.02,21363.0,138.0,,,icloud.com,icloud.com
3002696,33.31,2016-07-03 03:15:19,C,online,0.11,21363.0,138.0,,,gmail.com,gmail.com
3002697,80.08,2016-07-03 03:15:48,C,online,0.24,21363.0,138.0,,,hotmail.com,hotmail.com
3002704,74.37,2016-07-03 03:19:16,C,online,0.18,21363.0,138.0,,,gmail.com,gmail.com
3002732,24.02,2016-07-03 03:31:49,C,online,0.12,21363.0,138.0,,,gmail.com,gmail.com
3002741,20.08,2016-07-03 03:35:35,H,online,0.15,12947.0,166.0,181.0,87.0,gmail.com,anonymous.com
3002742,199.97,2016-07-03 03:35:39,W,in_person,0.25,15868.0,226.0,264.0,87.0,hotmail.com,
3002775,43.63,2016-07-03 03:54:20,C,online,0.02,21363.0,138.0,,,anonymous.com,anonymous.com
3002805,43.01,2016-07-03 04:12:02,W,in_person,0.02,19248.0,226.0,325.0,87.0,gmail.com,
3002808,14.44,2016-07-03 04:14:38,C,online,0.62,21363.0,138.0,,,outlook.com,outlook.com
3002819,14.27,2016-07-03 04:25:10,C,online,0.27,21363.0,138.0,,,yahoo.com,yahoo.com
3002825,24.19,2016-07-03 04:26:17,C,online,0.01,21363.0,138.0,,,anonymous.com,anonymous.com
3002829,20.09,2016-07-03 04:27:32,C,online,0.09,21363.0,138.0,,,outlook.com,outlook.com
3002831,29.24,2016-07-03 04:30:09,C,online,0.1,21363.0,138.0,,,gmail.com,gmail.com
3002866,58.92,2016-07-03 04:55:58,W,in_person,0.16,22756.0,117.0,310.0,87.0,yahoo.com,
3002874,11.78,2016-07-03 05:00:24,C,online,0.14,21363.0,138.0,,,hotmail.com,hotmail.com
3002875,25.84,2016-07-03 05:03:41,C,online,0.27,21363.0,138.0,,,hotmail.com,hotmail.com
3002876,11.74,2016-07-03 05:03:50,C,online,0.21,21363.0,138.0,,,hotmail.com,hotmail.com
3002885,32.44,2016-07-03 05:14:32,C,online,0.27,21363.0,138.0,,,hotmail.com,hotmail.com
3002887,11.71,2016-07-03 05:15:07,C,online,0.32,21363.0,138.0,,,hotmail.com,hotmail.com
3002890,13.37,2016-07-03 05:17:09,C,online,0.11,21363.0,138.0,,,anonymous.com,anonymous.com
3002898,19.96,2016-07-03 05:24:43,C,online,0.13,21363.0,138.0,,,gmail.com,gmail.com
3002901,11.63,2016-07-03 05:26:24,C,online,0.02,21363.0,138.0,,,hotmail.com,hotmail.com
3002916,20.45,2016-07-03 05:39:39,C,online,0.17,21363.0,138.0,,,live.com.mx,live.com.mx
3002922,6.85,2016-07-03 05:46:11,C,online,0.32,21363.0,138.0,,,hotmail.com,hotmail.com
3002925,43.96,2016-07-03 05:47:41,C,online,0.03,21363.0,138.0,,,anonymous.com,anonymous.com
3002926,107.98,2016-07-03 05:52:46,W,in_person,0.01,15868.0,226.0,264.0,87.0,,
3002928,21.0,2016-07-03 05:54:32,C,online,0.08,21363.0,138.0,,,yahoo.com.mx,yahoo.com.mx
3002932,109.37,2016-07-03 05:56:37,C,online,0.02,21363.0,138.0,,,gmail.com,gmail.com
3002940,47.0,2016-07-03 06:06:17,W,in_person,0.32,15868.0,226.0,264.0,87.0,yahoo.com,
3002948,83.23,2016-07-03 06:10:54,C,online,0.22,21363.0,138.0,,,hotmail.com,hotmail.com
3002949,83.18,2016-07-03 06:12:37,C,online,0.02,21363.0,138.0,,,hotmail.com,hotmail.com
3002957,39.36,2016-07-03 06:26:37,C,online,0.22,21363.0,138.0,,,gmail.com,gmail.com
3002965,14.07,2016-07-03 06:38:19,C,online,0.25,21363.0,138.0,,,hotmail.com,hotmail.com
3002969,42.88,2016-07-03 06:48:27,W,in_person,0.1,22756.0,117.0,264.0,87.0,gmail.com,
3002976,58.99,2016-07-03 06:58:26,W,in_person,0.24,15868.0,226.0,264.0,87.0,gmail.com,
3002983,50.05,2016-07-03 07:04:05,H,online,0.64,15868.0,226.0,387.0,87.0,yahoo.com,gmail.com
3002998,50.06,2016-07-03 07:23:15,W,in_person,0.21,15868.0,226.0,264.0,87.0,,
3003003,59.03,2016-07-03 07:28:07,W,in_person,0.01,15868.0,226.0,264.0,87.0,gmail.com,
3003004,50.05,2016-07-03 07:30:41,H,online,0.1,15868.0,226.0,387.0,87.0,yahoo.com,gmail.com
3003026,54.05,2016-07-03 08:41:21,C,online,0.12,21363.0,138.0,,,gmail.com,gmail.com
3003073,38.5,2016-07-03 11:09:15,C,online,0.07,21363.0,138.0,,,gmail.com,gmail.com
3003079,500.0,2016-07-03 11:20:14,W,in_person,0.07,15868.0,226.0,264.0,87.0,yahoo.com,
3003128,104.03,2016-07-03 12:19:24,W,in_person,0.07,22756.0,117.0,264.0,87.0,gmail,
3003147,139.97,2016-07-03 12:37:25,W,in_person,0.02,15868.0,226.0,264.0,87.0,,
3003169,108.47,2016-07-03 12:48:59,W,in_person,0.01,15868.0,226.0,204.0,87.0,,
3003253,500.01,2016-07-03 13:38:27,W,in_person,0.14,19248.0,226.0,325.0,87.0,aol.com,
3003254,117.07,2016-07-03 13:38:33,W,in_person,0.25,19248.0,226.0,325.0,87.0,gmail.com,
3003287,38.46,2016-07-03 13:57:16,C,online,0.17,21363.0,138.0,,,anonymous.com,anonymous.com
3003290,99.95,2016-07-03 13:57:58,W,in_person,0.16,22756.0,117.0,264.0,87.0,anonymous.com,
3003299,49.95,2016-07-03 14:01:21,W,in_person,0.08,19248.0,226.0,126.0,87.0,gmail.com,
3003301,29.99,2016-07-03 14:01:33,H,online,0.22,19248.0,226.0,325.0,87.0,aol.com,
3003348,15.68,2016-07-03 14:26:16,C,online,0.04,21363.0,138.0,,,gmail.com,gmail.com
3003358,170.46,2016-07-03 14:30:28,C,online,0.05,21363.0,138.0,,,gmail.com,gmail.com
3003423,261.87,2016-07-03 14:54:13,W,in_person,0.11,19248.0,226.0,325.0,87.0,me.com,
3003437,30.01,2016-07-03 14:58:36,C,online,0.1,21363.0,138.0,,,hotmail.com,hotmail.com
3003439,16.74,2016-07-03 14:58:47,C,online,0.04,21363.0,138.0,,,anonymous.com,anonymous.com
3003483,17.69,2016-07-03 15:08:44,C,online,0.06,21363.0,138.0,,,gmail.com,gmail.com
3003485,27.28,2016-07-03 15:09:39,C,online,0.05,21363.0,138.0,,,gmail.com,gmail.com
3003509,27.23,2016-07-03 15:14:47,C,online,0.04,21363.0,138.0,,,gmail.com,gmail.com
3003513,27.23,2016-07-03 15:15:44,C,online,0.1,21363.0,138.0,,,gmail.com,gmail.com
3003521,40.21,2016-07-03 15:17:38,C,online,0.18,10114.0,102.0,,,hotmail.com,hotmail.com
3003526,50.06,2016-07-03 15:18:23,W,in_person,0.08,19248.0,226.0,325.0,87.0,,
3003535,27.23,2016-07-03 15:21:44,C,online,0.21,21363.0,138.0,,,gmail.com,gmail.com
3003547,50.0,2016-07-03 15:24:58,R,online,0.14,19248.0,226.0,325.0,87.0,gmail.com,charter.net
3003570,85.1,2016-07-03 15:30:52,C,online,0.31,21363.0,138.0,,,gmail.com,gmail.com
3003602,53.97,2016-07-03 15:39:34,W,in_person,0.06,22756.0,117.0,264.0,87.0,,
3003623,12.04,2016-07-03 15:44:36,C,online,0.19,21363.0,138.0,,,hotmail.com,hotmail.com
3003637,54.57,2016-07-03 15:50:10,W,in_person,0.07,15868.0,226.0,264.0,87.0,gmail.com,
3003666,24.96,2016-07-03 15:57:40,W,in_person,0.09,15868.0,226.0,264.0,87.0,,
3003696,55.38,2016-07-03 16:06:19,W,in_person,0.1,15868.0,226.0,264.0,87.0,gmail.com,
3003718,107.91,2016-07-03 16:11:21,W,in_person,0.04,15868.0,226.0,264.0,87.0,,
3003771,10.98,2016-07-03 16:23:16,C,online,0.03,21363.0,138.0,,,hotmail.com,hotmail.com
3003779,8.69,2016-07-03 16:24:29,C,online,0.04,21363.0,138.0,,,gmail.com,gmail.com
3003805,127.83,2016-07-03 16:30:51,C,online,0.45,21363.0,138.0,,,gmail.com,gmail.com
3003820,64.01,2016-07-03 16:35:03,C,online,0.06,21363.0,138.0,,,anonymous.com,anonymous.com
3003834,100.06,2016-07-03 16:37:36,W,in_person,0.06,19248.0,226.0,126.0,87.0,yahoo.com,
3003839,28.75,2016-07-03 16:38:36,C,online,0.18,21363.0,138.0,,,gmail.com,gmail.com
3003860,55.01,2016-07-03 16:43:22,W,in_person,0.1,19248.0,226.0,231.0,87.0,gmail.com,
3003880,43.89,2016-07-03 16:47:45,W,in_person,0.08,19248.0,226.0,325.0,87.0,yahoo.com,
3003881,51.44,2016-07-03 16:47:55,C,online,0.21,10114.0,102.0,,,gmail.com,gmail.com
3003882,54.5,2016-07-03 16:48:07,W,in_person,0.23,19248.0,226.0,325.0,87.0,yahoo.com,
3003904,20.01,2016-07-03 16:53:41,W,in_person,0.07,19248.0,226.0,325.0,87.0,gmail.com,
3003910,117.05,2016-07-03 16:56:34,W,in_person,0.08,19248.0,226.0,126.0,87.0,,
3003919,28.98,2016-07-03 16:58:35,W,in_person,0.2,22756.0,117.0,264.0,87.0,,
3003924,124.88,2016-07-03 17:00:00,W,in_person,0.15,15868.0,226.0,264.0,87.0,yahoo.com,
3003932,13.53,2016-07-03 17:01:08,C,online,0.06,21363.0,138.0,,,hotmail.com,hotmail.com
3003968,8.12,2016-07-03 17:10:34,C,online,0.05,21363.0,138.0,,,hotmail.com,hotmail.com
3003979,43.95,2016-07-03 17:12:25,W,in_person,0.08,22756.0,117.0,264.0,87.0,gmail.com,
3003998,107.91,2016-07-03 17:16:32,W,in_person,0.16,15868.0,226.0,264.0,87.0,gmail.com,
3004017,32.34,2016-07-03 17:19:48,C,online,0.14,21363.0,138.0,,,hotmail.com,hotmail.com
3004026,92.07,2016-07-03 17:22:31,W,in_person,0.06,19248.0,226.0,325.0,87.0,gmail.com,
3004040,13.64,2016-07-03 17:26:40,C,online,0.04,21363.0,138.0,,,hotmail.com,hotmail.com
3004047,11.74,2016-07-03 17:27:30,C,online,0.03,21363.0,138.0,,,hotmail.com,hotmail.com
3004050,11.72,2016-07-03 17:28:16,C,online,0.08,21363.0,138.0,,,hotmail.com,hotmail.com
3004094,205.02,2016-07-03 17:39:07,W,in_person,0.1,15868.0,226.0,310.0,87.0,,
3004104,22.81,2016-07-03 17:41:49,C,online,0.11,19248.0,226.0,,,hotmail.com,hotmail.com
3004115,87.93,2016-07-03 17:43:46,W,in_person,0.01,15868.0,226.0,264.0,87.0,gmail.com,
3004117,24.99,2016-07-03 17:43:55,W,in_person,0.02,19248.0,226.0,325.0,87.0,hotmail.com,
